,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Cause,Unnamed: 8,Implication,Recommendation,Unnamed: 11
0,"3: Design conformance check for Alex Ojara Road (0.60km) With the exception of one location for asphalt concrete, the widths measurement checks conducted on this road revealed consistency with the design/ specification at all locations sampled; as shown in the table inset below. All asphalt concrete cores revealed consistent asphalt thicknesses. No. Items Location Chainage Unit Drawings/ Specification s Field checks/ measurements (averaged where necessary) Conformity 3) ALEX OJERA ROAD (0.68KM) 1 Kerb-Kerb road width 0+100 m 9.55 9.53 Ok 0+200 m 9.55 9.53 Ok 0+300 m 9.55 9.55 Ok 0+400 m 9.55 9.56 Ok 0+500 m 9.55 9.54 Ok 2 Asphalt Concrete Width 0+100 m 9.00 9.00 Ok 0+200 m 9.00 9.00 Ok 0+300 m 9.00 8.97 Not Ok; non-compliant with Clause 7304(b) of the Gen. Spec. 0+400 m 9.00 9.00 Ok 0+500 m 9.00 9.00 Ok 3 Asphalt Concrete Thickness 0+010;RHS;C W mm 50 50 Ok 0+120;RHS;C LE mm 50 55 Ok 0+230;LHS;C W mm 50 50 Ok 0+340;RHS;S H mm 50 55 Ok 0+450;LHS;C LE mm 50 70 Ok No. Items Location Chainage Unit Drawings/ Specification s Field checks/ measurements (averaged where necessary) Conformity 3) ALEX OJERA ROAD (0.68KM) 1 Kerb-Kerb road width 0+100 m 9.55 9.53 Ok 0+200 m 9.55 9.53 Ok 0+300 m 9.55 9.55 Ok 0+400 m 9.55 9.56 Ok 0+500 m 9.55 9.54 Ok 2 Asphalt Concrete Width 0+100 m 9.00 9.00 Ok 0+200 m 9.00 9.00 Ok 0+300 m 9.00 8.97 Not Ok; non-compliant with Clause 7304(b) of the Gen. Spec. 0+400 m 9.00 9.00 Ok 0+500 m 9.00 9.00 Ok 3 Asphalt Concrete Thickness 0+010;RHS;C W mm 50 50 Ok 0+120;RHS;C LE mm 50 55 Ok 0+230;LHS;C W mm 50 50 Ok 0+340;RHS;S H mm 50 55 Ok 0+450;LHS;C LE mm 50 70 Ok", , , , , , , , , , , 
1, , , , , , , , , , , , 
2, , , , , , , , , , , , 
3, , , , , , , , , , , , 
4, , , , , , , , , , , , 
5, , , , , , , , , , , , 
6, , , , , , , , , , , , 
7, , , , , , , , , , , , 
8, , , , , , , , , , , , 
9, , , , , , , , , , , , 
10, , , , , , , , , , , , 
11, , , , , , , , , , , , 
12, , , , , , , , , , , , 
13, , , , , , , , , , , , 
14, , , , , , , , , , , , 
15, , , , , , , , , , , , 
16, , , , , , , , , , , , 
17, , , , , , , , , , , , 
