SN Entity Name Approved budget (UGX) Release (UGX) % funding Expenditure (UGX) Unspent balance % absorption;;;;;;;
35;Iganga DLG;29,074,379,781;29,074,379,781;100%;28,220,513,692;853,866,089;97%
36 Isingiro DLG 30,141,159,255 30,141,159,255 100% 29,804,333,607 336,825,648 99%;;;;;;;
37;Jinja DLG;28,513,734,076;28,513,734,073;100%;25,169,850,578;3,343,883,495;88%
38 KABALE DLG 30,824,816,708 30,824,816,550 100% 28,879,109,541 1,945,707,009 94%;;;;;;;
39;Kabarole DLG;16,157,894,627;16,157,894,625;100%;13,712,299,802;2,445,594,823;85%
40 Kaberamaido DLG 11,955,658,381 11,955,658,381 100% 10,762,277,491 1,193,380,890 90%;;;;;;;
41;Kagadi DLG;24,343,694,650;24,343,694,647;100%;19,683,167,007;4,660,527,640;81%
42 Kakumiro DLG 15,813,256,152 15,813,256,148 100% 11,717,577,177 4,095,678,971 74%;;;;;;;
43;Kalaki DLG;9,566,417,081;9,225,181,440;96%;7,213,309,119;2,011,872,321;78%
44 Kalangala DLG 10,643,092,809 10,643,092,806 100% 10,207,542,193 435,550,613 96%;;;;;;;
45;Kaliro DLG;21,956,704,847;21,956,704,843;100%;21,328,362,003;628,342,840;97%
46 Kalungu DLG 18,720,704,896 18,720,704,895 100% 17,540,574,068 1,180,130,827 94%;;;;;;;
47;Kamuli DLG;38,397,491,398;38,397,491,396;100%;35,669,455,320;2,728,036,076;93%
48 Kamwenge DLG 19,311,417,326 19,311,417,322 100% 17,311,868,791 1,999,548,531 90%;;;;;;;
49;KANUNGU DLG;29,070,210,548;29,070,209,852;100%;29,420,808,169;-350,598,317;101%
50 Kapchorwa DLG 14,390,736,339 13,880,262,907 96% 13,278,215,143 602,047,764 96%;;;;;;;
51;Kapelebyong DLG;8,139,318,283;8,139,318,281;100%;6,182,866,152;1,956,452,129;76%
52 Kasanda DLG 15,057,562,119 15,057,562,117 100% 14,558,853,148 498,708,969 97%;;;;;;;
53;Kasese DLG;54,343,466,569;54,343,466,567;100%;54,343,466,567;0;100%
54 Katakwi DLG 17,623,605,265 17,623,605,264 100% 17,422,018,731 201,586,533 99%;;;;;;;
55;Kayunga DLG;29,274,333,651;29,274,333,651;100%;27,513,528,135;1,760,805,516;94%
56 Kazo DLG 11,471,775,103 11,471,775,103 100% 9,783,228,038 1,688,547,065 85%;;;;;;;
57;Kibaale DLG;13,019,324,232;13,016,922,431;100%;11,883,756,754;1,133,165,677;91%
58 Kiboga DLG 17,469,067,253 17,469,067,252 100% 16,682,180,817 786,886,435 95%;;;;;;;
59;Kibuku DLG;15,948,680,423;15,948,680,418;100%;15,437,732,169;510,948,249;97%
60 Kikuube DLG 13,140,576,822 13,140,576,822 100% 10,819,867,416 2,320,709,406 82%;;;;;;;
61;Kiruhura DLG;11,796,051,122;11,796,051,119;100%;11,654,778,829;141,272,290;99%
62 Kiryandongo DLG 18,440,086,055 18,407,950,051 100% 15,811,997,552 2,595,952,499 86%;;;;;;;
63;KISORO DLG;31,179,977,457;31,179,977,455;100%;30,425,337,300;754,640,155;98%
64 Kitagwenda DLG 10,575,233,318 10,575,233,318 100% 10,575,233,318 0 100%;;;;;;;
65;Kitgum DLG;22,530,731,282;22,530,731,275;100%;21,938,662,396;592,068,879;97%
66 Koboko DLG 13,879,570,999 13,879,570,999 100% 13,099,661,264 779,909,735 94%;;;;;;;
67;Kole DLG;18,103,911,681;18,103,911,681;100%;17,681,260,227;422,651,454;98%
68 Kumi DLG 19,762,519,218 19,762,519,218 100% 19,473,527,194 288,992,024 99%;;;;;;;
69;Kwania DLG;16,533,169,230;16,533,169,229;100%;12,094,634,648;4,438,534,581;73%
70 Kween DLG 12,704,718,745 12,704,718,742 100% 12,287,976,346 416,742,396 97%;;;;;;;
71;Kyankwanzi DLG;16,704,783,737;16,704,783,736;100%;15,699,227,921;1,005,555,815;94%
72 Kyegegwa DLG 16,292,734,365 16,292,734,364 100% 12,247,224,766 4,045,509,598 75%;;;;;;;
